Extended VLAN table 2561
------------------------
Filter Outer		Filter Inner		Filter Other	Treatment Outer			Treatment Inner
Prio	VID	TPIDDEI	Prio	VID	TPIDDEI	EthTyp	ExtCrit	TagRem	Prio	VID	TPIDDEI	Prio	VID	TPIDDEI
8	10	0	8	4096	0	0	0	1	15	0	0	1	10	3
8	11	0	8	4096	0	0	0	1	15	0	0	6	11	3
8	300	0	8	4096	0	0	0	1	15	0	0	5	300	3
14	4096	5	14	4096	0	0	0	3	15	0	0	15	4096	3
15	4096	0	8	10	0	0	0	1	15	0	0	1	10	2
15	4096	0	8	11	0	0	0	1	15	0	0	6	11	2
15	4096	0	8	300	0	0	0	1	15	0	0	5	300	2
15	4096	0	14	4096	5	0	0	3	15	0	0	15	4096	2
15	4096	0	15	0	5	0	0	3	15	0	0	15	0	2
15	4096	0	14	4096	0	0	0	0	15	0	0	15	0	0
14	4096	0	14	4096	0	0	0	0	15	0	0	15	0	0
