Extended VLAN table 3585
------------------------
Filter Outer		Filter Inner		Filter Other	Treatment Outer			Treatment Inner
Prio	VID	TPIDDEI	Prio	VID	TPIDDEI	EthTyp	ExtCrit	TagRem	Prio	VID	TPIDDEI	Prio	VID	TPIDDEI
8	30	5	8	4096	0	0	0	1	15	0	0	9	30	3
8	30	5	8	4096	0	0	0	1	15	0	0	9	40	3
8	60	5	8	4096	0	0	0	1	15	0	0	9	69	3
14	4096	5	14	4096	0	0	0	3	15	0	0	15	4096	3
15	4096	0	8	30	5	0	0	1	15	0	0	8	30	2
15	4096	0	8	40	5	0	0	1	15	0	0	8	40	2
15	4096	0	8	69	5	0	0	1	15	0	0	8	69	2
15	4096	0	14	4096	5	0	0	3	15	0	0	15	4096	2
15	4096	0	15	0	5	0	0	3	15	0	0	15	0	2
15	4096	0	14	4096	0	0	0	0	15	0	0	15	0	0
14	4096	0	14	4096	0	0	0	0	15	0	0	15	0	0
