Extended VLAN table 2561
------------------------
Filter Outer		Filter Inner		Filter Other	Treatment Outer			Treatment Inner
Prio	VID	TPIDDEI	Prio	VID	TPIDDEI	EthTyp	ExtCrit	TagRem	Prio	VID	TPIDDEI	Prio	VID	TPIDDEI
0	0	5	8	4096	0	0	0	1	15	0	0	0	108	3
0	108	5	8	4096	0	0	0	1	15	0	0	0	108	3
1	0	5	8	4096	0	0	0	1	15	0	0	0	108	3
1	108	5	8	4096	0	0	0	1	15	0	0	0	108	3
2	0	5	8	4096	0	0	0	1	15	0	0	0	108	3
2	108	5	8	4096	0	0	0	1	15	0	0	0	108	3
3	0	5	8	4096	0	0	0	1	15	0	0	3	108	3
3	108	5	8	4096	0	0	0	1	15	0	0	3	108	3
4	0	5	8	4096	0	0	0	1	15	0	0	0	108	3
4	108	5	8	4096	0	0	0	1	15	0	0	0	108	3
5	0	5	8	4096	0	0	0	1	15	0	0	0	108	3
5	108	5	8	4096	0	0	0	1	15	0	0	0	108	3
6	0	5	8	4096	0	0	0	1	15	0	0	0	108	3
6	108	5	8	4096	0	0	0	1	15	0	0	0	108	3
7	0	5	8	4096	0	0	0	1	15	0	0	0	108	3
7	108	5	8	4096	0	0	0	1	15	0	0	0	108	3
14	4096	5	14	4096	0	0	0	3	15	0	0	15	4096	3
15	4096	0	0	0	5	0	0	1	15	0	0	0	108	2
15	4096	0	0	108	5	0	0	1	15	0	0	0	108	2
15	4096	0	1	0	5	0	0	1	15	0	0	0	108	2
15	4096	0	1	108	5	0	0	1	15	0	0	0	108	2
15	4096	0	2	0	5	0	0	1	15	0	0	0	108	2
15	4096	0	2	108	5	0	0	1	15	0	0	0	108	2
15	4096	0	3	0	5	0	0	1	15	0	0	3	108	2
15	4096	0	3	108	5	0	0	1	15	0	0	3	108	2
15	4096	0	4	0	5	0	0	1	15	0	0	0	108	2
15	4096	0	4	108	5	0	0	1	15	0	0	0	108	2
15	4096	0	5	0	5	0	0	1	15	0	0	0	108	2
15	4096	0	5	108	5	0	0	1	15	0	0	0	108	2
15	4096	0	6	0	5	0	0	1	15	0	0	0	108	2
15	4096	0	6	108	5	0	0	1	15	0	0	0	108	2
15	4096	0	7	0	5	0	0	1	15	0	0	0	108	2
15	4096	0	7	108	5	0	0	1	15	0	0	0	108	2
15	4096	0	14	4096	5	0	0	3	15	0	0	15	4096	2
15	4096	0	15	108	5	1	0	0	15	0	0	10	108	2
15	4096	0	15	108	5	0	0	0	15	0	0	0	108	2
15	4096	0	14	4096	0	0	0	0	15	0	0	15	0	0
14	4096	0	14	4096	0	0	0	0	15	0	0	15	0	0
